Selected_Features,Runtime_seconds
ACTBL2.345651,2176.5264599323273
ALPL.249,2176.5264599323273
APCDD1L.164284,2176.5264599323273
ASMT.438,2176.5264599323273
C1orf127.148345,2176.5264599323273
C1orf9.51430,2176.5264599323273
C20orf186.149954,2176.5264599323273
C21orf7.56911,2176.5264599323273
C7orf46.340277,2176.5264599323273
CARTPT.9607,2176.5264599323273
CCL1.6346,2176.5264599323273
CDK19.23097,2176.5264599323273
CECR4.100130717,2176.5264599323273
CTDP1.9150,2176.5264599323273
DDB1.1642,2176.5264599323273
DUOXA2.405753,2176.5264599323273
EVC2.132884,2176.5264599323273
FGF9.2254,2176.5264599323273
FRMD7.90167,2176.5264599323273
GABRG3.2567,2176.5264599323273
GAD2.2572,2176.5264599323273
GIPC2.54810,2176.5264599323273
GLTPD2.388323,2176.5264599323273
IL26.55801,2176.5264599323273
KCNJ8.3764,2176.5264599323273
LCE1A.353131,2176.5264599323273
LCMT2.9836,2176.5264599323273
LOC145783.145783,2176.5264599323273
LOC285692.285692,2176.5264599323273
LOC440944.440944,2176.5264599323273
LRRC61.65999,2176.5264599323273
LYPD5.284348,2176.5264599323273
MFRP.83552,2176.5264599323273
MORC4.79710,2176.5264599323273
MSL2.55167,2176.5264599323273
NMUR1.10316,2176.5264599323273
OR4K5.79317,2176.5264599323273
OR6B1.135946,2176.5264599323273
PCBP4.57060,2176.5264599323273
PCYT1B.9468,2176.5264599323273
PFN2.5217,2176.5264599323273
RAB5A.5868,2176.5264599323273
RPL8.6132,2176.5264599323273
RPS4X.6191,2176.5264599323273
RSPO4.343637,2176.5264599323273
SGIP1.84251,2176.5264599323273
SLCO4A1.28231,2176.5264599323273
SNORA31.677814,2176.5264599323273
SNORA81.677847,2176.5264599323273
SRPK1.6732,2176.5264599323273
TADA2B.93624,2176.5264599323273
TARDBP.23435,2176.5264599323273
TMBIM4.51643,2176.5264599323273
TRIP4.9325,2176.5264599323273
UNKL.64718,2176.5264599323273
USP24.23358,2176.5264599323273
VPS33A.65082,2176.5264599323273
cg00663077,2176.5264599323273
cg02090762,2176.5264599323273
cg03249131,2176.5264599323273
cg03576469,2176.5264599323273
cg04615639,2176.5264599323273
cg04908380,2176.5264599323273
cg06204711,2176.5264599323273
cg08445802,2176.5264599323273
cg08609270,2176.5264599323273
cg11195065,2176.5264599323273
cg11498607,2176.5264599323273
cg13293535,2176.5264599323273
cg13620034,2176.5264599323273
cg19284039,2176.5264599323273
cg21802055,2176.5264599323273
cg26718878,2176.5264599323273
hsa.mir.3150,2176.5264599323273
hsa.mir.3175,2176.5264599323273
hsa.mir.3667,2176.5264599323273
hsa.mir.544b,2176.5264599323273
