t-SNE_1,t-SNE_2,Runtime_seconds
-4.024926,-0.87240404,1.5458307266235352
-9.601134,0.03639326,1.5458307266235352
-2.3616033,1.9539319,1.5458307266235352
-9.683653,1.4973478,1.5458307266235352
7.0816865,3.1599305,1.5458307266235352
9.357981,2.415151,1.5458307266235352
12.705152,4.8993745,1.5458307266235352
-1.4548043,1.5627526,1.5458307266235352
-8.350724,-2.2789767,1.5458307266235352
9.494337,2.6819289,1.5458307266235352
6.586667,4.295406,1.5458307266235352
0.8759332,-7.3861217,1.5458307266235352
11.968885,5.833139,1.5458307266235352
9.653233,3.4190907,1.5458307266235352
8.563725,3.0265179,1.5458307266235352
7.0065494,6.199743,1.5458307266235352
10.793246,-0.092896506,1.5458307266235352
-10.1946125,-4.756703,1.5458307266235352
-4.283033,1.2879364,1.5458307266235352
-2.291907,2.6138928,1.5458307266235352
-5.5847507,-2.0631487,1.5458307266235352
2.1124659,2.4614477,1.5458307266235352
-5.552696,2.4686706,1.5458307266235352
-1.3993064,2.4709005,1.5458307266235352
-7.164972,-1.5150155,1.5458307266235352
-3.223095,-0.6202921,1.5458307266235352
-5.216795,1.4975505,1.5458307266235352
-5.21475,0.8646474,1.5458307266235352
-0.98343164,-0.48050752,1.5458307266235352
-7.79359,1.1906725,1.5458307266235352
-1.7369025,-2.1260276,1.5458307266235352
-5.6721153,1.7536852,1.5458307266235352
-7.195436,-1.35209,1.5458307266235352
-4.294563,2.3635755,1.5458307266235352
-0.45244497,-2.4228227,1.5458307266235352
3.1723726,-0.86072713,1.5458307266235352
-1.6551508,3.1980624,1.5458307266235352
-9.2473755,1.5083805,1.5458307266235352
-7.3704796,2.2577899,1.5458307266235352
-3.9901922,0.94587404,1.5458307266235352
-6.4455466,-3.769677,1.5458307266235352
-10.160157,1.6717339,1.5458307266235352
-1.9025177,0.30608383,1.5458307266235352
-6.3994613,2.5787697,1.5458307266235352
-2.368782,0.31533355,1.5458307266235352
-11.054442,1.4432431,1.5458307266235352
-5.7094135,1.9101377,1.5458307266235352
-7.964045,0.45022473,1.5458307266235352
13.02487,3.7576864,1.5458307266235352
-8.22216,-2.2661455,1.5458307266235352
12.753718,2.5790424,1.5458307266235352
-1.6987858,-3.5435004,1.5458307266235352
3.4528954,5.6502724,1.5458307266235352
10.875529,1.8981733,1.5458307266235352
8.167143,3.9754968,1.5458307266235352
9.892115,2.5151238,1.5458307266235352
10.0968075,4.3788013,1.5458307266235352
8.046941,0.9501757,1.5458307266235352
-4.243067,-4.592025,1.5458307266235352
11.951044,3.145121,1.5458307266235352
-0.18350933,1.8595415,1.5458307266235352
7.6052513,2.392757,1.5458307266235352
7.9700437,2.3279073,1.5458307266235352
12.006073,4.351884,1.5458307266235352
8.192655,1.6793815,1.5458307266235352
7.9712687,1.6846709,1.5458307266235352
-4.454977,-5.852029,1.5458307266235352
6.4070425,0.632181,1.5458307266235352
11.129392,4.3041997,1.5458307266235352
7.2460585,2.0180533,1.5458307266235352
-6.9533076,1.2759813,1.5458307266235352
-9.526519,2.4387257,1.5458307266235352
-4.396849,0.5857127,1.5458307266235352
-0.20515648,0.576961,1.5458307266235352
-9.501245,-6.2104635,1.5458307266235352
-4.697398,-2.396349,1.5458307266235352
-2.975292,-2.1732392,1.5458307266235352
-3.8028114,-1.9792633,1.5458307266235352
-4.8328886,-1.0425389,1.5458307266235352
-3.2554328,-3.2144349,1.5458307266235352
-9.630705,-4.8032374,1.5458307266235352
-4.0927463,-0.7896926,1.5458307266235352
-4.6627097,-2.1350229,1.5458307266235352
8.554291,2.3959227,1.5458307266235352
-4.587942,-7.8373857,1.5458307266235352
1.2976105,-2.9018254,1.5458307266235352
9.450695,3.4553826,1.5458307266235352
10.792242,3.8311,1.5458307266235352
9.825625,1.311781,1.5458307266235352
-2.769319,8.411082,1.5458307266235352
-2.4345152,6.9414477,1.5458307266235352
-2.2958136,7.583783,1.5458307266235352
-7.257532,0.977653,1.5458307266235352
