PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Runtime_seconds
39.9522513082092,-6.179284230782048,-12.816550229069165,-19.395072043182083,-26.887935527689883,12.615062247252855,11.087111502823737,2.057128821160951,-9.097550451925615,4.509022814634008,0.33098769187927246
41.44937348057269,32.338919384593545,-23.877335306441836,-62.453371663413684,25.5727759467746,-79.55620910217706,50.8526650852499,19.819455307149717,-21.986732966030484,10.073663392038943,0.33098769187927246
7.481658365525393,-11.72317653504092,-24.572408594951103,-28.083218972414656,11.430328972777724,39.882378835410115,-3.774055237111487,6.245061477631604,-2.2535872882418704,5.200475030891382,0.33098769187927246
67.75183490308785,56.050958797317335,-3.5489514889466705,-31.978127832477206,31.554271665929278,14.208122625082705,5.189051023658876,12.629275448096804,-4.569810176493391,-0.8375471240253839,0.33098769187927246
-32.1080971359587,33.54170698680034,22.82910627789514,-16.96249081859078,4.527081339317296,7.70513296517661,-4.8816818363576076,1.5945570776428881,-1.678680974520524,-14.709614223149215,0.33098769187927246
-54.26517771419398,54.27748820625543,0.4524327388723426,-1.5914535517220467,-14.82179640944465,-7.897221462428842,18.80403488074489,-15.443268228208108,-12.376240854874549,-5.899149577772431,0.33098769187927246
-82.29758777577042,19.437211181757945,-4.020516713463796,23.841239228569115,-33.59186975493341,-2.9306554504963485,26.010611431258084,-17.077713103112774,7.801070120230636,-4.068795534411299,0.33098769187927246
3.4047523460098907,-8.338650315626246,-21.84744293775418,-9.289696589070122,45.60868018046091,19.579466077594894,5.4358445543965255,-0.7665956150476362,12.759700971498063,11.451234832277141,0.33098769187927246
30.8967265716637,9.929271165722577,-36.952212565838984,-6.956217804976594,7.252062711039781,-54.25631122430629,9.844747418278706,5.2011612955726445,-3.728183014234389,6.143774882263616,0.33098769187927246
-41.35181803467995,49.39726113753064,-0.21227324678149714,-7.129047905395218,-10.493346645149346,-12.226618420323906,26.019349822660807,-1.8849572800098058,-14.045371010010843,-6.568956337659703,0.33098769187927246
