Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,Pyruvate metabolism,1/39,0.0193339377497966,0.055639928582062,0,0,58.33918128654971,230.20018425524987,GLO1
KEGG_2019_Human,Glycosphingolipid biosynthesis,1/45,0.0222783509374741,0.055639928582062,0,0,50.36868686868687,191.60953052295557,B3GALT4
KEGG_2019_Human,Herpes simplex virus 1 infection,2/492,0.0238456836780265,0.055639928582062,0,0,9.948979591836734,37.17090055601639,SP100;SRPK1
KEGG_2019_Human,Retinol metabolism,1/67,0.0330065923938031,0.0577615366891555,0,0,33.54208754208754,114.4136695514984,ALDH1A1
KEGG_2019_Human,Toll-like receptor signaling pathway,1/104,0.0508108479280287,0.0711351870992402,0,0,21.45307443365696,63.922554665894864,TLR1
KEGG_2019_Human,Tuberculosis,1/179,0.0859983623481033,0.0960949196820343,0,0,12.367041198501871,30.34163310031636,TLR1
KEGG_2019_Human,Viral carcinogenesis,1/201,0.0960949196820343,0.0960949196820343,0,0,10.994444444444444,25.753593684518663,SP100
Reactome_2016,Fructose metabolism Homo sapiens R-HSA-5652084,1/6,0.0029965781728721,0.0514718042073948,0,0,444.1111111111111,2580.4117942926405,ALDH1A1
Reactome_2016,Establishment of Sister Chromatid Cohesion Homo sapiens R-HSA-2468052,1/10,0.0049898178893478,0.0514718042073948,0,0,246.679012345679,1307.4865498601448,ESCO1
Reactome_2016,MyD88 deficiency (TLR2/4) Homo sapiens R-HSA-5602498,1/11,0.0054875676690229,0.0514718042073948,0,0,222.0,1155.5699775561973,TLR1
Reactome_2016,IRAK4 deficiency (TLR2/4) Homo sapiens R-HSA-5603041,1/11,0.0054875676690229,0.0514718042073948,0,0,222.0,1155.5699775561973,TLR1
Reactome_2016,Ethanol oxidation Homo sapiens R-HSA-71384,1/12,0.0059850935124877,0.0514718042073948,0,0,201.8080808080808,1032.9512945731403,ALDH1A1
Reactome_2016,RA biosynthesis pathway Homo sapiens R-HSA-5365859,1/22,0.0109480522580432,0.0641233289138753,0,0,105.65608465608466,476.9942956890701,ALDH1A1
Reactome_2016,Diseases associated with the TLR signaling cascade Homo sapiens R-HSA-5602358,1/24,0.0119379646683197,0.0641233289138753,0,0,96.45893719806764,427.1232267263204,TLR1
Reactome_2016,Diseases of Immune System Homo sapiens R-HSA-5260271,1/24,0.0119379646683197,0.0641233289138753,0,0,96.45893719806764,427.1232267263204,TLR1
Reactome_2016,Pyruvate metabolism Homo sapiens R-HSA-70268,1/27,0.0134211618656948,0.0641233289138753,0,0,85.31623931623932,367.7917019980768,GLO1
Reactome_2016,Beta defensins Homo sapiens R-HSA-1461957,1/38,0.0188424272009397,0.0785496616376372,0,0,59.91891891891892,237.97662594437213,TLR1
Reactome_2016,Signaling by Retinoic Acid Homo sapiens R-HSA-5362517,1/42,0.0208071402680988,0.0785496616376372,0,0,54.06233062330623,209.35416251688036,ALDH1A1
Reactome_2016,Defensins Homo sapiens R-HSA-1461973,1/47,0.0232580526351399,0.0785496616376372,0,0,48.17391304347826,181.18709015535836,TLR1
Reactome_2016,Pyruvate metabolism and Citric Acid (TCA) cycle Homo sapiens R-HSA-71406,1/48,0.0237475721230066,0.0785496616376372,0,0,47.14657210401892,176.3411440394006,GLO1
