Feature,Score,Runtime_seconds
RBMS1.5937,0.09875625732107854,455.17273449897766
cg09919570,0.09040660814176384,455.17273449897766
cg18881778,0.08594117435893918,455.17273449897766
cg06204711,0.0852782501274214,455.17273449897766
FAM127B.26071,0.08386382125624098,455.17273449897766
CCT2.10576,0.08268116306384242,455.17273449897766
cg01268541,0.08134567830846214,455.17273449897766
cg14175690,0.08041851408348498,455.17273449897766
cg21879102,0.08015279966818918,455.17273449897766
SEH1L.81929,0.07864084196050349,455.17273449897766
